
|PKG_NAME                      |MODEL_NAME                                        |SCHEMA_NAME         |TABLE_NAME                              |

|wip-slowmove                  |AN_COMPANY_PLANT_MBEW                             |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |AN_COMPANY_PLANT_MBEW                             |SAPABAP1            |T001                                    |
|wip-slowmove                  |AN_COMPANY_PLANT_MBEW                             |SAPABAP1            |T001K                                   |
|wip-slowmove                  |AN_MARD_MBEW                                      |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |AN_MARD_MBEW                                      |SAPABAP1            |MARA                                    |
|wip-slowmove                  |AN_MARD_MBEW                                      |SAPABAP1            |MARD                                    |
|wip-slowmove                  |AN_MARD_MBEW                                      |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |AN_MARD_MBEW                                      |SAPABAP1            |T001                                    |
|wip-slowmove                  |AN_MARD_MBEW                                      |SAPABAP1            |T001K                                   |
|wip-slowmove                  |AN_MARD_MBEW                                      |SAPABAP1            |T001L                                   |
|wip-slowmove                  |AN_MARD_MBEW                                      |SAPABAP1            |T001W                                   |
|wip-slowmove                  |AN_MARD_MBEW                                      |SAPABAP1            |T023T                                   |
|wip-slowmove                  |AN_MARD_MBEW                                      |SAPABAP1            |T134T                                   |
|wip-slowmove                  |AN_MARD_MBEW_ALL                                  |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |AN_MARD_MBEW_ALL                                  |SAPABAP1            |MARA                                    |
|wip-slowmove                  |AN_MARD_MBEW_ALL                                  |SAPABAP1            |MARD                                    |
|wip-slowmove                  |AN_MARD_MBEW_ALL                                  |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |AN_MARD_MBEW_ALL                                  |SAPABAP1            |T001                                    |
|wip-slowmove                  |AN_MARD_MBEW_ALL                                  |SAPABAP1            |T001K                                   |
|wip-slowmove                  |AN_MARD_MBEW_ALL                                  |SAPABAP1            |T001L                                   |
|wip-slowmove                  |AN_MARD_MBEW_ALL                                  |SAPABAP1            |T001W                                   |
|wip-slowmove                  |AN_MARD_MBEW_ALL                                  |SAPABAP1            |T023T                                   |
|wip-slowmove                  |AN_MARD_MBEW_ALL                                  |SAPABAP1            |T134T                                   |
|wip-slowmove                  |AN_MIGO                                           |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |AN_MIGO                                           |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |AT_COMPANY                                        |SAPABAP1            |T001                                    |
|wip-slowmove                  |AT_COMPANY_PLANT                                  |SAPABAP1            |T001                                    |
|wip-slowmove                  |AT_COMPANY_PLANT                                  |SAPABAP1            |T001K                                   |
|wip-slowmove                  |AT_COMPANY_PLANT_SLOC                             |SAPABAP1            |T001                                    |
|wip-slowmove                  |AT_COMPANY_PLANT_SLOC                             |SAPABAP1            |T001K                                   |
|wip-slowmove                  |AT_COMPANY_PLANT_SLOC                             |SAPABAP1            |T001L                                   |
|wip-slowmove                  |AT_COMPANY_PLANT_SLOC                             |SAPABAP1            |T001W                                   |
|wip-slowmove                  |AT_COMPANY_PLANT_SLOC_MARD                        |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |AT_COMPANY_PLANT_SLOC_MARD                        |SAPABAP1            |MARD                                    |
|wip-slowmove                  |AT_COMPANY_PLANT_SLOC_MARD                        |SAPABAP1            |T001                                    |
|wip-slowmove                  |AT_COMPANY_PLANT_SLOC_MARD                        |SAPABAP1            |T001K                                   |
|wip-slowmove                  |AT_COMPANY_PLANT_SLOC_MARD                        |SAPABAP1            |T001L                                   |
|wip-slowmove                  |AT_COMPANY_PLANT_SLOC_MARD                        |SAPABAP1            |T001W                                   |
|wip-slowmove                  |AT_MARD                                           |SAPABAP1            |MARD                                    |
|wip-slowmove                  |AT_MARDH                                          |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |AT_MATERIAL                                       |SAPABAP1            |MAKT                                    |
|wip-slowmove                  |AT_MATERIAL                                       |SAPABAP1            |MARA                                    |
|wip-slowmove                  |AT_MATERIAL                                       |SAPABAP1            |T023T                                   |
|wip-slowmove                  |AT_MATERIAL                                       |SAPABAP1            |T134T                                   |
|wip-slowmove                  |AT_MATKL                                          |SAPABAP1            |T023                                    |
|wip-slowmove                  |AT_MATKL                                          |SAPABAP1            |T023T                                   |
|wip-slowmove                  |AT_MBEW                                           |SAPABAP1            |MBEW                                    |
|wip-slowmove                  |AT_MIGO                                           |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |AT_MIGO                                           |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |AT_MIGO_CANCEL                                    |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |AT_MIGO_CANCEL                                    |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |AT_MIGO_NEW                                       |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |AT_MIGO_NEW                                       |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |AT_MIGO_NEW                                       |SAPABAP1            |T156T                                   |
|wip-slowmove                  |AT_MIGO_NEW                                       |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |AT_MIGO_NEW2                                      |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |AT_MIGO_NEW2                                      |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |AT_MIGO_NEW_NO_FILTER                             |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |AT_MIGO_NEW_NO_FILTER                             |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |AT_MIGO_NEW_NO_FILTER                             |SAPABAP1            |T156T                                   |
|wip-slowmove                  |AT_MIGO_NEW_NO_FILTER_OLD                         |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |AT_MIGO_NEW_NO_FILTER_OLD                         |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |AT_MIGO_NEW_NO_FILTER_OLD                         |SAPABAP1            |T156T                                   |
|wip-slowmove                  |AT_MIGO_NEW_OLD                                   |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |AT_MIGO_NEW_OLD                                   |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |AT_MIGO_NEW_OLD                                   |SAPABAP1            |T156T                                   |
|wip-slowmove                  |AT_MIGO_NO_CANCEL                                 |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |AT_MIGO_NO_CANCEL                                 |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |AT_MOV_TYPE_DESC                                  |SAPABAP1            |T156T                                   |
|wip-slowmove                  |AT_MTART                                          |SAPABAP1            |T134                                    |
|wip-slowmove                  |AT_MTART                                          |SAPABAP1            |T134T                                   |
|wip-slowmove                  |AT_PLANT                                          |SAPABAP1            |T001W                                   |
|wip-slowmove                  |AT_STORAGE_LOCATION                               |SAPABAP1            |T001L                                   |
|wip-slowmove                  |AT_TCURX                                          |SAPABAP1            |TCURX                                   |
|wip-slowmove                  |CA_GET_MAT_LIST                                   |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_GET_MAT_LIST                                   |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_GET_MAT_LIST                                   |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_GET_MAT_LIST2                                  |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_GET_MAT_LIST2                                  |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_GET_MAT_LIST2                                  |SAPABAP1            |T001                                    |
|wip-slowmove                  |CA_GET_MAT_LIST2                                  |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_GET_MAT_LIST3                                  |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_GET_MAT_LIST3                                  |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_GET_MAT_LIST3                                  |SAPABAP1            |T001K                                   |
|wip-slowmove                  |CA_GET_MAT_LIST4                                  |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_GET_MAT_LIST4                                  |SAPABAP1            |MARDH                                   |
|wip-slowmove                  |CA_GET_MAT_LIST4                                  |SAPABAP1            |T001                                    |
